,ID,Snapshot,Mass,Mstars
0,685.0,999.0,3365578.985886897,0.0
1,1028.0,999.0,1215347.967125824,0.0
2,1034.0,999.0,45248340.77057465,0.0
3,1037.0,999.0,26737654.74105383,0.0
4,1038.0,999.0,1028371.356798774,0.0
5,1039.0,999.0,1121859.6619622991,0.0
6,1040.0,999.0,1963254.3191483077,0.0
7,1041.0,999.0,2337207.5398024074,0.0
8,1047.0,999.0,728834846.6976978,0.0
9,1050.0,999.0,27392074.75219854,0.0
10,1061.0,999.0,3272090.770009088,0.0
11,1062.0,999.0,1215347.967125824,0.0
12,1068.0,999.0,15332081.689675223,0.0
13,1078.0,999.0,539053586.322885,0.0
14,1084.0,999.0,1589301.098494208,0.0
15,2238.0,999.0,16266964.56273904,0.0
16,2254.0,999.0,16547430.281801058,0.0
17,2256.0,999.0,8694412.290922102,0.0
18,2272.0,999.0,27859514.760158997,0.0
19,2282.0,999.0,57495309.55056786,0.0
20,2285.0,999.0,1495812.8826163986,0.0
21,2286.0,999.0,216986357.98096997,0.0
22,289.0,999.0,321337079.7580522,17594800.359
23,346.0,999.0,9535807.305250974,0.0
24,357.0,999.0,3459067.201764706,0.0
25,359.0,999.0,10844643.041826028,0.0
26,368.0,999.0,1308836.272289349,0.0
27,380.0,999.0,7946505.849613902,0.0
28,384.0,999.0,1121859.6619622991,0.0
29,391.0,999.0,4113485.427195096,0.0
30,394.0,999.0,77625269.89337903,3592021.486
31,397.0,999.0,26363703.306114048,0.0
32,402.0,999.0,9535807.305250974,0.0
33,406.0,999.0,27953003.333179668,0.0
34,408.0,999.0,3085113.9811106063,0.0
35,418.0,999.0,802893545.1017671,4596908.962
36,420.0,999.0,2430695.934251648,0.0
37,423.0,999.0,9161853.72745401,0.0
38,424.0,999.0,144813385.32330012,0.0
39,435.0,999.0,799723533.6192106,200247957.554
40,438.0,999.0,211984689.32436347,14507463.595
41,1645.0,999.0,8600924.432187157,0.0
42,1647.0,999.0,64974372.5350784,0.0
43,1648.0,999.0,32440440.55245741,0.0
44,1649.0,999.0,82460835.69001395,4148.042
45,1651.0,999.0,32346954.836579643,0.0
46,1657.0,999.0,44219969.32449016,0.0
47,1658.0,999.0,1121859.6619622991,0.0
48,1659.0,999.0,95171093.04932548,0.0
49,1663.0,999.0,120973864.9173155,0.0
50,1664.0,999.0,109474801.86434476,0.0
51,1670.0,999.0,9535807.305250974,0.0
52,1671.0,999.0,2056742.713597548,0.0
53,1672.0,999.0,61982743.912702695,0.0
54,1681.0,999.0,361145331.8645541,10197.815
55,1688.0,999.0,85915750.03456508,0.0
56,1689.0,999.0,1121859.6619622991,0.0
57,1694.0,999.0,1402324.5774528738,0.0
58,1696.0,999.0,2898137.549354988,0.0
59,1704.0,999.0,26831143.314074505,0.0
60,1705.0,999.0,1028371.356798774,0.0
61,1711.0,999.0,3286617655.970765,10251244.257
62,1712.0,999.0,305706748.06329775,0.0
63,1713.0,999.0,1495812.8826163986,0.0
64,1719.0,999.0,8600924.432187157,0.0
