ID,620,689,720,740,805,850,900,910,999
2595.0,,271.0,2444.0,2219.0,,,,2595.0,
2611.0,,,,,,,1427.0,2611.0,
2613.0,,,,,,,,2613.0,
2619.0,,,,,,,1438.0,2619.0,
2623.0,,,,,,,,2623.0,
2626.0,,,,,,,2497.0,2626.0,
2633.0,,,,,2876.0,452.0,2519.0,2633.0,
844.0,2595.0,,,,,,844.0,,
845.0,,,,,422.0,1790.0,845.0,1140.0,
864.0,1439.0,,2803.0,2600.0,97.0,2719.0,864.0,,
866.0,,,,,,,866.0,,
873.0,,,,,,,873.0,,
897.0,,2318.0,2966.0,2478.0,,141.0,897.0,1185.0,1649.0
901.0,,,,,,,901.0,,
902.0,1918.0,,,,,,902.0,,
917.0,,,,,,,917.0,,
2440.0,,,,,,,2440.0,,
2441.0,777.0,,,,2060.0,,2441.0,,
2446.0,2535.0,,,,,2294.0,2446.0,,
2459.0,,,,,,,2459.0,,
2477.0,,,,,,,2477.0,,
2479.0,,,,,,,2479.0,,
2480.0,,,,,,,2480.0,,
2483.0,,,744.0,,,,2483.0,,
2485.0,,,,,,,2485.0,,
2489.0,,,,,,,2489.0,,
2494.0,340.0,2476.0,2945.0,2898.0,347.0,1703.0,2494.0,1602.0,1681.0
2497.0,,,,,,,2497.0,,
2501.0,,,,,,,2501.0,,
2502.0,,,,,,,2502.0,,
2508.0,1791.0,1455.0,816.0,1267.0,426.0,2800.0,2508.0,1632.0,438.0
227.0,,,,,,,227.0,,
405.0,,,,,,,405.0,,
420.0,,,,,,,420.0,,
431.0,,,400.0,,2343.0,2785.0,431.0,2074.0,1034.0
433.0,,,,,,,433.0,,
434.0,,,,,,,434.0,,
1052.0,,,,,,1796.0,1052.0,,
1065.0,,,,,,444.0,1065.0,,
1066.0,,,,,,444.0,1066.0,,
1403.0,,,,,,509.0,1403.0,,
1407.0,,,,,,,1407.0,,
1418.0,776.0,665.0,809.0,2874.0,2090.0,480.0,1418.0,1634.0,435.0
1438.0,,,,,,,1438.0,,
1442.0,,,,,,,1442.0,,
1448.0,,,,,,,1448.0,,
136.0,,,,,,136.0,,,
440.0,,,,,,440.0,,,
441.0,,,,,,441.0,,,
444.0,,,,,,444.0,,,
447.0,,,,2310.0,369.0,447.0,,,
452.0,,,,,2876.0,452.0,,,
469.0,,,,,,469.0,,,
473.0,,,,,,473.0,,,
474.0,,,,,,474.0,,,
487.0,,,,,,487.0,,,
489.0,,,,,,489.0,,,
496.0,,,,,,496.0,,,
505.0,,,,,,505.0,,,
510.0,,,,,,510.0,,,
519.0,,,,,,519.0,,,
1707.0,,,,,,1707.0,,,
1711.0,,,,,,1711.0,,,
1712.0,777.0,,,,,1712.0,,,
1713.0,777.0,,,,,1713.0,,,
1715.0,,,,,,1715.0,,,
1718.0,,,,,2889.0,1718.0,,,
1719.0,,,,,2889.0,1719.0,,,
1722.0,,,,,,1722.0,,,
1727.0,,,,,,1727.0,,,
1731.0,,,,,,1731.0,,,
1737.0,,,,,2905.0,1737.0,,,
1742.0,,,,,,1742.0,,,
1744.0,2595.0,,,,,1744.0,,,
1765.0,,,,,,1765.0,,,
1766.0,,,,,,1766.0,,,
1769.0,,,,,,1769.0,,,
1782.0,,,,1298.0,370.0,1782.0,,,
1785.0,,,,,,1785.0,,,
1789.0,,,401.0,714.0,2076.0,1789.0,,,
1790.0,,,,,422.0,1790.0,,,
1795.0,,,,,,1795.0,,,
1796.0,,,,,,1796.0,,,
1882.0,,,,2464.0,2054.0,1882.0,,,
2247.0,,,,,,2247.0,,,
2249.0,,,,,339.0,2249.0,,,
2254.0,,,2776.0,2265.0,395.0,2254.0,,,
2255.0,,,2776.0,2265.0,395.0,2255.0,,,
2258.0,,,,,,2258.0,,,
2263.0,,,,,,2263.0,,,
2273.0,,,,,,2273.0,,,
2275.0,,,,,,2275.0,,,
2277.0,,,,,,2277.0,,,
2282.0,,,,,,2282.0,,,
2285.0,,,,,,2285.0,,,
2290.0,,,,,,2290.0,,,
2300.0,,,,,,2300.0,,,
2306.0,,,,,,2306.0,403.0,2021.0,
2307.0,,,,,,2307.0,,,
2317.0,,,,,,2317.0,,,
2318.0,,,,,,2318.0,,,
2502.0,,,2552.0,2082.0,,2502.0,,,
2523.0,,,,,2417.0,2523.0,,,
2731.0,,,,,2873.0,2731.0,,,
2734.0,,,,,,2734.0,,,
2744.0,,,,,,2744.0,,,
2745.0,,,,,,2745.0,,,
2749.0,,,,,,2749.0,,,
2750.0,,,,,357.0,2750.0,,,
2757.0,,,,,,2757.0,,1544.0,
2758.0,,,,,,2758.0,,,
2763.0,,,,,2412.0,2763.0,,,
2764.0,,,,,,2764.0,,,
2771.0,,,,,2075.0,2771.0,,,
2782.0,,,,,,2782.0,,,
2788.0,,,,931.0,2404.0,2788.0,,,
2789.0,,,,,,2789.0,,,
2790.0,1235.0,2261.0,2469.0,1769.0,2087.0,2790.0,920.0,1193.0,1726.0
2796.0,,,,,2031.0,2796.0,,,
2797.0,,,,,2031.0,2797.0,,,
1793.0,1893.0,,802.0,,1793.0,,,,
1999.0,,,,,1999.0,,,,
2001.0,,,,,2001.0,,,,
2003.0,,326.0,,2879.0,2003.0,140.0,2187.0,1493.0,1664.0
2015.0,,,,,2015.0,,,,
2023.0,,,,,2023.0,,,,
2028.0,,,,,2028.0,,,,
2029.0,,,,,2029.0,,,,
2031.0,,,,,2031.0,,,,
2032.0,,,,,2032.0,,,,
2034.0,,,,2190.0,2034.0,,,,
2035.0,,,,,2035.0,,,,
2039.0,,,,,2039.0,,,,
2058.0,,,,,2058.0,,,,
2060.0,777.0,,,,2060.0,,,,
2066.0,,,,1757.0,2066.0,,,,
2071.0,,,,,2071.0,,,,
2086.0,1235.0,2261.0,2469.0,1769.0,2086.0,2791.0,920.0,1193.0,1726.0
2341.0,,,,,2341.0,,,,
2350.0,1443.0,,,2852.0,2350.0,,,,
2356.0,,,,,2356.0,,,,
2365.0,,,,,2365.0,,,,
2368.0,,,,,2368.0,,,,
2375.0,,,1562.0,2201.0,2375.0,2403.0,,,1688.0
2381.0,,,326.0,1176.0,2381.0,,,,
2382.0,,,326.0,1177.0,2382.0,,,,
2385.0,,,,,2385.0,,,,
2387.0,,,,,2387.0,,,,
2388.0,,,,,2388.0,,,,
2391.0,,,,,2391.0,,,,
2393.0,,,,,2393.0,,,,
2403.0,,,,931.0,2403.0,2788.0,,,
2412.0,,,,,2412.0,,,,
2413.0,,,,,2413.0,,,,
2416.0,,,,,2416.0,,,,
2417.0,,,,,2417.0,,,,
2419.0,,,,,2419.0,,,,
2421.0,,,,,2421.0,,,,
2484.0,,,,,2484.0,1727.0,,,
2872.0,,,,,2872.0,,,,
2873.0,,,,,2873.0,,,,
2885.0,,,,,2885.0,,,,
2890.0,,,,,2890.0,1719.0,,,
2896.0,,,,,2896.0,,,,
2905.0,,,,,2905.0,,,,
2908.0,,,,,2908.0,,,,
61.0,,,2547.0,,61.0,,,,
157.0,,,,,157.0,,,,
324.0,,,2840.0,,324.0,,,,
325.0,,,,,325.0,,,,
327.0,,,,,327.0,,,,
339.0,,,,,339.0,,,,
347.0,340.0,2476.0,2945.0,2898.0,347.0,1703.0,2495.0,1602.0,1681.0
350.0,,,2522.0,,350.0,,,,
351.0,,,,,351.0,,,,
355.0,,,,,355.0,,,,
356.0,,,,,356.0,,,,
359.0,,,,,359.0,,,,
368.0,,,,,368.0,,,,
370.0,,,,1298.0,370.0,,,,
371.0,,,,,371.0,,,,
372.0,,,,,372.0,,,,
400.0,,,,,400.0,,,,
401.0,,,,,401.0,,,,
404.0,,,,,404.0,,,,
415.0,,,,,415.0,,,,
428.0,,,2480.0,2448.0,428.0,,,,
429.0,,,2480.0,2448.0,429.0,,,,
699.0,,,381.0,699.0,,,,,
724.0,,,,724.0,,,,,
737.0,,,,737.0,,,,,
749.0,,,,749.0,,,,,
750.0,,,,750.0,,,,,
751.0,,,,751.0,,,,,
753.0,,,,753.0,,,,,
754.0,,,,754.0,,,,,
760.0,,,443.0,760.0,,,,,
816.0,,,,816.0,,,,,
912.0,,,,912.0,,,,,
932.0,,,,932.0,2404.0,2788.0,,,
978.0,,,,978.0,,,,,
