Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,,,,,16734405.99927095,0.0
523.0,7.596713167865263,,,,,16734405.99927095,0.0
525.0,7.566683618057125,,,,,16734405.99927095,0.0
527.0,7.53339063655954,,,,,16734405.99927095,0.0
530.0,7.482979561017268,,,,,16734405.99927095,0.0
532.0,7.445622694073074,,,,,16734405.99927095,0.0
535.0,7.388982983834753,6.166,-89.552,-63.432,109.91450715897334,16734405.99927095,0.0
537.0,7.368028485131425,4.224,-87.575,-61.311,106.98720260853632,16734405.99927095,0.0
539.0,7.32581407574925,1.801,-83.287,-57.004,100.94267673288638,16734405.99927095,0.0
541.0,7.304554308275986,-0.822,-81.062,-54.787,97.84344074591817,16734405.99927095,0.0
543.0,7.271496275648464,-3.139,-77.471,-51.206,92.91750964161706,16734405.99927095,0.0
545.0,7.236227198877431,-5.636,-73.541,-47.132,87.52981549734925,16734405.99927095,0.0
547.0,7.19831221169613,-9.511,-68.957,-42.463,81.53915218470203,16734405.99927095,0.0
550.0,7.152681385740628,-12.551,-63.063,-36.021,73.70198105207214,16734405.99927095,0.0
553.0,7.099260464270884,-16.95,-55.52,-28.621,64.72197880936584,16734405.99927095,0.0
555.0,7.075557727315488,-18.673,-51.926,-25.186,60.657439782766964,16734405.99927095,0.0
557.0,7.039764478602527,-22.774,-45.427,-19.748,54.518353872801406,16734405.99927095,0.0
560.0,6.986751233784402,-25.673,-36.032,-11.199,45.63798367588121,16734405.99927095,0.0
563.0,6.943909723553674,-27.529,-27.385,-3.957,39.03129404721294,16734405.99927095,0.0
565.0,6.8992999999999975,-29.253,-16.029,3.699,33.56113006142672,16734405.99927095,0.0
567.0,6.866292168543732,-28.89,-7.556,9.164,31.23626309275807,16734405.99927095,0.0
570.0,6.816364909661479,-26.33,5.264,16.573,31.553809991821904,16734405.99927095,0.0
573.0,6.779399361578653,-23.086,15.004,21.008,34.63263599554617,16734405.99927095,0.0
575.0,6.742137004320504,-18.588,24.582,24.588,39.42534986528338,16734405.99927095,0.0
577.0,6.7130773554740495,-14.534,31.486,26.845,43.85498121080432,16734405.99927095,0.0
580.0,6.66005882533,-7.198,42.607,30.025,52.618136398013945,16734405.99927095,0.0
583.0,6.613862820712693,-1.656,51.125,32.15,60.41630956124347,16734405.99927095,0.0
585.0,6.573229915265312,3.772,58.01,33.303,66.99610356580448,16734405.99927095,0.0
