Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,21.084,-4.168,52.517,56.7445377899935,1495812.8826163986,0.0
523.0,7.596713167865263,14.885,-3.986,59.04,61.01780904785094,1495812.8826163986,0.0
525.0,7.566683618057125,10.547,-4.275,62.865,63.88679878503853,1495812.8826163986,0.0
527.0,7.53339063655954,5.725,-4.363,66.64,67.02761366780113,1495812.8826163986,0.0
530.0,7.482979561017268,-1.46,-4.666,71.464,71.63104391253837,1495812.8826163986,0.0
532.0,7.445622694073074,-6.837,-4.81,74.402,74.87014273393633,1495812.8826163986,0.0
535.0,7.388982983834753,-14.662,-4.999,77.951,79.47529582203515,1495812.8826163986,0.0
537.0,7.368028485131425,-17.48,-5.018,79.007,81.07303357467266,1495812.8826163986,0.0
539.0,7.32581407574925,-22.945,-5.535,80.719,84.09914512645179,1495812.8826163986,0.0
541.0,7.304554308275986,-25.832,-5.45,81.348,85.52480241427045,1495812.8826163986,0.0
543.0,7.271496275648464,-30.097,-5.834,82.088,87.62593628030459,1495812.8826163986,0.0
545.0,7.236227198877431,-34.562,-6.213,82.561,89.71873792023605,1495812.8826163986,0.0
547.0,7.19831221169613,-39.304,-5.958,82.77,91.82143039617712,1495812.8826163986,0.0
550.0,7.152681385740628,-45.015,-6.552,83.103,94.73852193273864,1495812.8826163986,0.0
553.0,7.099260464270884,-51.081,-6.877,82.339,97.14047874598931,1495812.8826163986,0.0
555.0,7.075557727315488,-53.635,-7.193,81.774,98.05834768136775,1495812.8826163986,0.0
557.0,7.039764478602527,-57.479,-5.744,80.737,99.2738240726124,1495812.8826163986,0.0
560.0,6.986751233784402,-62.479,-6.616,78.616,100.63733081217923,1495812.8826163986,0.0
563.0,6.943909723553674,-66.217,-7.139,76.337,101.30643601963303,1495812.8826163986,0.0
565.0,6.8992999999999975,-70.102,-4.67,73.415,101.61624638314487,1495812.8826163986,0.0
567.0,6.866292168543732,-72.561,-4.392,70.995,101.61042471124702,1495812.8826163986,0.0
570.0,6.816364909661479,-75.767,-5.689,66.955,101.2717879520254,1495812.8826163986,0.0
573.0,6.779399361578653,-78.016,-5.625,63.564,100.78947850346286,1495812.8826163986,0.0
575.0,6.742137004320504,-79.991,-4.347,60.092,100.14242334794979,1495812.8826163986,0.0
577.0,6.7130773554740495,-81.41,-3.21,57.201,99.54821244502585,1495812.8826163986,0.0
580.0,6.66005882533,-83.596,-2.58,51.47,98.20442207965993,1495812.8826163986,0.0
583.0,6.613862820712693,-85.04,-3.735,46.079,96.79372947665567,1495812.8826163986,0.0
585.0,6.573229915265312,-85.818,-3.751,40.833,95.11116135343947,1495812.8826163986,0.0
587.0,6.539376586173443,-86.207,-3.49,36.432,93.65424482104375,1495812.8826163986,0.0
590.0,6.489295405186351,-86.175,-3.201,29.848,91.25393213445653,1495812.8826163986,0.0
592.0,6.462779928727577,-85.862,-3.01,26.339,89.86148265525112,1495812.8826163986,0.0
594.0,6.420803680733952,-84.983,-2.547,20.647,87.4922631265188,1495812.8826163986,0.0
596.0,6.3912357509248015,-84.069,-1.052,16.569,85.69267895217187,1495812.8826163986,0.0
598.0,6.360037918593159,-82.809,-1.024,12.229,83.7133651097601,1495812.8826163986,0.0
600.0,6.323181769898123,-78.438,3.903,6.788,78.82785165790072,1495812.8826163986,0.0
602.0,6.296819541234349,-76.789,4.114,2.934,76.95507698001477,1495812.8826163986,0.0
604.0,6.257021370782392,-73.738,5.362,-2.774,73.98471980078048,1495812.8826163986,0.0
608.0,6.198067183682968,-68.336,5.756,-10.988,69.45269307953436,1495812.8826163986,0.0
610.0,6.166826674452982,-64.971,5.484,-15.31,66.97537754279553,1495812.8826163986,0.0
612.0,6.133891202463207,-60.982,5.365,-19.719,64.31505663528564,1495812.8826163986,0.0
614.0,6.100719280344513,-56.523,5.68,-23.924,61.63983861919173,1495812.8826163986,0.0
616.0,6.067346103953526,-51.647,5.324,-27.986,58.982826153042204,1495812.8826163986,0.0
618.0,6.032072868913223,-45.838,5.617,-32.083,56.23159096095361,1495812.8826163986,0.0
620.0,5.9948320266449295,-39.285,5.072,-36.035,53.54958108146131,1495812.8826163986,0.0
622.0,5.957324003606695,-32.082,4.721,-39.531,51.12966385573056,1495812.8826163986,0.0
624.0,5.9365639909968575,-27.737,5.047,-41.232,49.94888589348115,1495812.8826163986,0.0
626.0,5.894811696137233,-18.664,5.022,-44.044,48.09822570532098,1495812.8826163986,0.0
629.0,5.85272746861963,-9.171,4.487,-45.896,47.01790324971967,1495812.8826163986,0.0
630.0,5.829423163299706,-3.894,4.051,-46.491,46.82933821868509,1495812.8826163986,0.0
632.0,5.806019824366869,1.464,3.71,-46.751,46.920820506465994,1495812.8826163986,0.0
634.0,5.758847580686567,12.293,2.813,-46.293,47.979919414271635,1495812.8826163986,0.0
636.0,5.735113676933862,17.58,2.464,-45.581,48.91579762203618,1495812.8826163986,0.0
639.0,5.687351268637958,27.901,2.023,-43.226,51.488303584406424,1495812.8826163986,0.0
640.0,5.674282004200253,30.643,1.715,-42.377,52.3234632168017,1495812.8826163986,0.0
642.0,5.63487750476342,38.537,0.644,-39.39,55.10977413308822,1495812.8826163986,0.0
644.0,5.607096887071627,43.742,0.036,-36.968,57.27125704923893,1495812.8826163986,0.0
646.0,5.563197273837341,51.403,-1.085,-32.603,60.88022045787942,1495812.8826163986,0.0
648.0,5.532228479342441,56.332,-2.286,-29.266,63.52179764458812,1495812.8826163986,0.0
650.0,5.499580009312712,61.102,-3.171,-25.584,66.31780078530952,1495812.8826163986,0.0
652.0,5.4667717357004335,65.543,-3.732,-21.74,69.15518977632844,1495812.8826163986,0.0
654.0,5.432045810452904,69.792,-4.137,-17.487,72.06825377376643,1495812.8826163986,0.0
656.0,5.395473989249358,73.737,-5.537,-12.932,75.06690457185509,1495812.8826163986,0.0
658.0,5.377073878453867,75.56,-5.782,-10.686,76.53061949311531,1495812.8826163986,0.0
660.0,5.338220697323426,79.143,-5.421,-5.839,79.54304250530024,1495812.8826163986,0.0
662.0,5.297253698952362,82.368,-5.999,-0.765,82.58971273711998,1495812.8826163986,0.0
664.0,5.276641111204341,83.752,-7.114,1.763,84.0720801990768,1495812.8826163986,0.0
666.0,5.235158502612744,86.193,-8.327,6.838,86.86386142694785,1495812.8826163986,0.0
668.0,5.214323161439596,87.247,-8.848,9.374,88.19409271033973,1495812.8826163986,0.0
670.0,5.170266337889607,89.176,-9.243,14.68,90.84764402558825,1495812.8826163986,0.0
672.0,5.147046563163453,89.977,-9.14,17.51,92.11948886636313,1495812.8826163986,0.0
674.0,5.100322315894825,91.031,-11.013,23.071,94.55263175078736,1495812.8826163986,0.0
676.0,5.076783952863184,91.359,-11.813,25.803,95.6650858934439,1495812.8826163986,0.0
679.0,5.024693916499314,91.88,-11.819,31.653,97.89553396350621,1495812.8826163986,0.0
681.0,4.9984422681030605,91.887,-12.179,34.529,98.9130964584569,1495812.8826163986,0.0
682.0,4.972098961617661,91.814,-12.139,37.333,99.8544881615243,1495812.8826163986,0.0
684.0,4.945595796763422,91.618,-12.112,40.064,100.72577904389719,1495812.8826163986,0.0
687.0,4.892248159980066,90.654,-13.019,45.353,102.19851606554764,1495812.8826163986,0.0
689.0,4.862669314823597,89.695,-14.687,48.187,102.87316444534987,1495812.8826163986,0.0
690.0,4.8487228759760965,89.176,-15.463,49.495,103.15628129202797,1495812.8826163986,0.0
692.0,4.806664730570148,87.547,-17.381,53.176,103.89544429858317,1495812.8826163986,0.0
694.0,4.778461168590125,86.529,-17.47,55.476,104.25955743719612,1495812.8826163986,0.0
698.0,4.720187077902779,83.738,-18.712,60.046,104.7268528315446,1495812.8826163986,0.0
704.0,4.622237616993765,75.525,-18.918,67.303,102.91554866977098,1495812.8826163986,0.0
706.0,4.577088592204344,72.645,-18.248,69.67,102.2946451628823,1495812.8826163986,0.0
708.0,4.5521323230353365,70.841,-18.153,70.855,101.82538836164584,1495812.8826163986,0.0
711.0,4.501814915026364,66.846,-18.317,72.966,100.63765379320009,1495812.8826163986,0.0
712.0,4.48942163564651,65.724,-18.564,73.456,100.29980163489856,1495812.8826163986,0.0
714.0,4.451988877090199,61.809,-20.605,74.704,99.12419544187988,1495812.8826163986,0.0
716.0,4.425636673797183,59.328,-20.668,75.432,98.16804180587489,1495812.8826163986,0.0
718.0,4.384017668022734,55.056,-21.116,76.404,96.51227801684094,1495812.8826163986,0.0
720.0,4.356077168016793,52.166,-21.048,76.854,95.24099524889479,1495812.8826163986,0.0
722.0,4.328017673411098,49.215,-20.833,77.132,93.83749537365115,1495812.8826163986,0.0
724.0,4.282832647088027,44.263,-20.536,77.215,91.34055337034039,1495812.8826163986,0.0
726.0,4.251573740401522,40.775,-20.097,77.0,89.41750406939349,1495812.8826163986,0.0
728.0,4.218546832503941,36.944,-19.615,76.562,87.24303528076038,1495812.8826163986,0.0
731.0,4.1837560100917885,32.863,-18.821,75.809,84.74202789053375,1495812.8826163986,0.0
732.0,4.166252624258076,30.837,-18.287,75.325,83.4217631256976,1495812.8826163986,0.0
734.0,4.129379642199092,26.411,-17.338,74.024,80.48415832323775,1495812.8826163986,0.0
736.0,4.090517576788267,21.48,-16.861,72.173,77.16622091303941,1495812.8826163986,0.0
739.0,4.051387253346471,16.217,-16.724,69.869,73.65025747409169,1495812.8826163986,0.0
740.0,4.031717654255528,13.46,-16.732,68.492,71.77942245518558,1495812.8826163986,0.0
742.0,3.9921703326700086,7.72,-16.69,65.308,67.84754501085504,1495812.8826163986,0.0
744.0,3.9703123977296446,4.308,-16.623,63.27,65.55894975516311,1495812.8826163986,0.0
746.0,3.9263621640915054,-2.6,-16.123,58.565,60.799427250591755,1495812.8826163986,0.0
748.0,3.904236747925157,-5.967,-15.645,55.862,58.3175287370787,1495812.8826163986,0.0
751.0,3.8597869359163535,-12.302,-14.567,49.701,53.23275395844179,1495812.8826163986,0.0
752.0,3.837429450196413,-15.239,-14.081,46.222,50.665323111572086,1495812.8826163986,0.0
755.0,3.79021115421336,-20.993,-13.146,38.002,45.3616067726883,1495812.8826163986,0.0
756.0,3.765320039697933,-23.724,-12.675,33.156,42.69431035864147,1495812.8826163986,0.0
758.0,3.7403442402838434,-26.31,-12.004,27.98,40.23919129406057,1495812.8826163986,0.0
761.0,3.6900396490094094,-30.793,-9.454,16.587,36.23141639516733,1495812.8826163986,0.0
763.0,3.6647448434540313,-32.387,-7.714,10.418,34.88492925318898,1495812.8826163986,0.0
764.0,3.6393332294665535,-33.402,-5.637,4.008,34.11060593129357,1495812.8826163986,0.0
766.0,3.611243287317557,-33.774,-3.108,-3.146,34.06229669297125,1495812.8826163986,0.0
768.0,3.5830408109660965,-33.291,-0.43,-10.248,34.835285056964864,1495812.8826163986,0.0
770.0,3.5406764130714983,-31.102,3.686,-20.453,37.406499555558526,1495812.8826163986,0.0
