Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,-34.673,-74.541,-46.109,94.25824892814421,1869766.1032704983,0.0
523.0,7.596713167865263,-36.42,-67.914,-45.099,89.28968359782668,1869766.1032704983,0.0
525.0,7.566683618057125,-39.372,-62.307,-44.17,85.92616326241968,1869766.1032704983,0.0
527.0,7.53339063655954,-40.902,-56.87,-43.001,82.19645068371261,1869766.1032704983,0.0
530.0,7.482979561017268,-43.596,-48.112,-40.651,76.60208587891063,1869766.1032704983,0.0
532.0,7.445622694073074,-45.498,-41.199,-38.571,72.4923971599781,1869766.1032704983,0.0
535.0,7.388982983834753,-48.151,-29.95,-34.71,66.4853773472032,1869766.1032704983,0.0
537.0,7.368028485131425,-48.885,-25.735,-33.065,64.38421914568818,1869766.1032704983,0.0
539.0,7.32581407574925,-49.639,-17.88,-29.473,60.43494394801736,1869766.1032704983,0.0
541.0,7.304554308275986,-50.043,-12.937,-27.586,58.5888659559135,1869766.1032704983,0.0
543.0,7.271496275648464,-50.058,-6.278,-24.383,56.033448376840056,1869766.1032704983,0.0
545.0,7.236227198877431,-49.673,0.835,-20.659,53.80426037963908,1869766.1032704983,0.0
547.0,7.19831221169613,-48.566,9.292,-16.278,52.05738087917986,1869766.1032704983,0.0
550.0,7.152681385740628,-46.754,18.174,-10.157,51.18002970886203,1869766.1032704983,0.0
553.0,7.099260464270884,-43.064,28.57,-3.065,51.77013831351043,1869766.1032704983,0.0
555.0,7.075557727315488,-41.112,32.791,0.147,52.587715618764044,1869766.1032704983,0.0
557.0,7.039764478602527,-36.413,40.045,5.046,54.35964229094964,1869766.1032704983,0.0
560.0,6.986751233784402,-30.769,47.684,12.07,58.0187910680669,1869766.1032704983,0.0
563.0,6.943909723553674,-25.676,53.22,17.375,61.59152539919757,1869766.1032704983,0.0
565.0,6.8992999999999975,-17.627,59.127,22.465,65.66117180647936,1869766.1032704983,0.0
567.0,6.866292168543732,-12.634,62.359,26.089,68.76698886820624,1869766.1032704983,0.0
570.0,6.816364909661479,-6.378,66.27,31.248,73.54474344234264,1869766.1032704983,0.0
573.0,6.779399361578653,-0.803,68.731,34.816,77.0503019202391,1869766.1032704983,0.0
575.0,6.742137004320504,5.832,70.767,38.096,80.58092658315614,1869766.1032704983,0.0
577.0,6.7130773554740495,11.086,71.917,40.582,83.31778326983982,1869766.1032704983,0.0
580.0,6.66005882533,19.143,73.551,44.891,88.26894091921575,1869766.1032704983,0.0
583.0,6.613862820712693,24.436,74.813,48.52,92.45698169959908,1869766.1032704983,0.0
585.0,6.573229915265312,29.859,75.399,51.195,95.90358234706355,1869766.1032704983,0.0
587.0,6.539376586173443,34.41,75.602,53.52,98.81346519579202,1869766.1032704983,0.0
590.0,6.489295405186351,40.963,75.472,56.666,102.88355412309588,1869766.1032704983,0.0
592.0,6.462779928727577,44.399,75.169,58.291,104.97376073571908,1869766.1032704983,0.0
594.0,6.420803680733952,49.783,74.443,60.565,108.11210183416101,1869766.1032704983,0.0
596.0,6.3912357509248015,54.487,72.988,62.087,110.23101597100519,1869766.1032704983,0.0
598.0,6.360037918593159,57.985,72.202,63.619,112.35108450744924,1869766.1032704983,0.0
600.0,6.323181769898123,68.108,68.586,60.427,113.99193563142966,1869766.1032704983,0.0
602.0,6.296819541234349,71.055,67.432,61.417,115.6197886955343,1869766.1032704983,0.0
604.0,6.257021370782392,76.332,64.54,62.614,117.95125611878832,1869766.1032704983,0.0
608.0,6.198067183682968,82.613,61.18,64.043,121.1173233604508,1869766.1032704983,0.0
610.0,6.166826674452982,85.316,59.834,64.721,122.66921069689819,1869766.1032704983,0.0
612.0,6.133891202463207,88.24,58.179,65.304,124.24051697010923,1869766.1032704983,0.0
614.0,6.100719280344513,91.625,55.722,65.615,125.71956941542554,1869766.1032704983,0.0
616.0,6.067346103953526,94.202,54.19,65.929,127.11099852097772,1869766.1032704983,0.0
618.0,6.032072868913223,97.403,51.214,66.363,128.5078440173984,1869766.1032704983,0.0
620.0,5.9948320266449295,99.742,49.717,66.582,129.82068162276764,1869766.1032704983,0.0
622.0,5.957324003606695,102.199,47.821,66.626,131.03628321194094,1869766.1032704983,0.0
624.0,5.9365639909968575,104.367,44.751,66.639,131.66578527088956,1869766.1032704983,0.0
626.0,5.894811696137233,107.713,39.703,66.703,132.7693819636139,1869766.1032704983,0.0
629.0,5.85272746861963,110.625,35.101,66.469,133.74639728605777,1869766.1032704983,0.0
630.0,5.829423163299706,111.68,33.945,66.249,134.21481075499827,1869766.1032704983,0.0
632.0,5.806019824366869,112.615,32.865,66.084,134.64524316142771,1869766.1032704983,0.0
634.0,5.758847580686567,115.152,27.904,65.509,135.38849803805346,1869766.1032704983,0.0
636.0,5.735113676933862,115.939,26.911,65.134,135.6778964975504,1869766.1032704983,0.0
639.0,5.687351268637958,117.417,24.86,64.303,136.1603734498404,1869766.1032704983,0.0
640.0,5.674282004200253,117.952,23.416,64.087,136.26491451947564,1869766.1032704983,0.0
642.0,5.63487750476342,119.338,19.075,63.353,136.4515169501607,1869766.1032704983,0.0
644.0,5.607096887071627,120.128,16.489,62.709,136.51022740439632,1869766.1032704983,0.0
646.0,5.563197273837341,121.098,12.02,61.733,136.45574115074822,1869766.1032704983,0.0
648.0,5.532228479342441,121.677,8.135,60.913,136.3153114033783,1869766.1032704983,0.0
650.0,5.499580009312712,122.103,4.914,59.889,136.08814175379132,1869766.1032704983,0.0
652.0,5.4667717357004335,122.431,2.483,58.73,135.81136900127322,1869766.1032704983,0.0
654.0,5.432045810452904,122.537,0.096,57.562,135.38356410214647,1869766.1032704983,0.0
656.0,5.395473989249358,122.512,-4.106,56.176,134.83987672791756,1869766.1032704983,0.0
658.0,5.377073878453867,122.486,-5.452,55.338,134.51705744625846,1869766.1032704983,0.0
660.0,5.338220697323426,122.388,-6.897,53.589,133.78405014799037,1869766.1032704983,0.0
662.0,5.297253698952362,122.091,-9.982,51.546,132.90162798476172,1869766.1032704983,0.0
664.0,5.276641111204341,121.768,-12.765,50.45,132.42202818640106,1869766.1032704983,0.0
666.0,5.235158502612744,120.972,-16.801,48.202,131.30091846213415,1869766.1032704983,0.0
668.0,5.214323161439596,120.5,-18.671,47.025,130.69126545412283,1869766.1032704983,0.0
670.0,5.170266337889607,119.453,-21.647,44.478,129.29000078118958,1869766.1032704983,0.0
672.0,5.147046563163453,118.811,-22.811,43.187,128.458212703587,1869766.1032704983,0.0
674.0,5.100322315894825,116.826,-27.859,40.441,126.72771061610794,1869766.1032704983,0.0
676.0,5.076783952863184,115.724,-30.185,38.982,125.78861126906521,1869766.1032704983,0.0
679.0,5.024693916499314,113.624,-33.095,35.549,123.56951000145625,1869766.1032704983,0.0
681.0,4.9984422681030605,112.333,-34.984,33.758,122.40173899499958,1869766.1032704983,0.0
682.0,4.972098961617661,111.12,-36.37,31.892,121.19212418305077,1869766.1032704983,0.0
684.0,4.945595796763422,109.834,-37.766,29.949,119.94465770929526,1869766.1032704983,0.0
687.0,4.892248159980066,106.53,-41.658,25.92,117.28544779298069,1869766.1032704983,0.0
689.0,4.862669314823597,103.943,-45.1,23.638,115.74503139660034,1869766.1032704983,0.0
690.0,4.8487228759760965,102.647,-46.685,22.552,114.99777623067328,1869766.1032704983,0.0
692.0,4.806664730570148,98.751,-50.896,19.096,112.72453163797134,1869766.1032704983,0.0
694.0,4.778461168590125,96.624,-52.313,16.686,111.13626744227106,1869766.1032704983,0.0
698.0,4.720187077902779,91.123,-56.203,11.717,107.70081906373787,1869766.1032704983,0.0
704.0,4.622237616993765,81.75,-59.49,3.774,101.17492612302715,1869766.1032704983,0.0
706.0,4.577088592204344,77.582,-60.13,-0.393,98.15670162041917,1869766.1032704983,0.0
708.0,4.5521323230353365,74.912,-60.701,-2.69,96.45545731061566,1869766.1032704983,0.0
711.0,4.501814915026364,68.91,-62.015,-7.283,92.9918835920641,1869766.1032704983,0.0
712.0,4.48942163564651,67.143,-62.518,-8.373,92.1237749009451,1869766.1032704983,0.0
