Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,,,,,1495812.8826163986,0.0
523.0,7.596713167865263,,,,,1495812.8826163986,0.0
525.0,7.566683618057125,20.168,76.953,-70.267,106.14124420789499,1495812.8826163986,0.0
527.0,7.53339063655954,18.088,75.923,-69.497,104.50507491026453,1495812.8826163986,0.0
530.0,7.482979561017268,15.315,73.668,-68.294,101.61492943952675,1495812.8826163986,0.0
532.0,7.445622694073074,13.521,71.616,-67.318,99.21381970774031,1495812.8826163986,0.0
535.0,7.388982983834753,10.977,67.947,-65.56,95.05473653637677,1495812.8826163986,0.0
537.0,7.368028485131425,9.913,66.396,-64.87,93.35316430094912,1495812.8826163986,0.0
539.0,7.32581407574925,6.593,63.233,-63.236,89.66979220450999,1495812.8826163986,0.0
541.0,7.304554308275986,6.255,61.367,-62.272,87.65178662183675,1495812.8826163986,0.0
543.0,7.271496275648464,4.28,58.405,-60.659,84.31474785587632,1495812.8826163986,0.0
545.0,7.236227198877431,2.191,54.871,-58.799,80.45464264416317,1495812.8826163986,0.0
547.0,7.19831221169613,0.855,50.687,-56.516,75.92075638453558,1495812.8826163986,0.0
550.0,7.152681385740628,-2.233,45.342,-52.792,69.62670835965176,1495812.8826163986,0.0
553.0,7.099260464270884,-4.838,38.226,-48.26,61.754845315975004,1495812.8826163986,0.0
555.0,7.075557727315488,-6.023,34.817,-45.97,57.98052188450876,1495812.8826163986,0.0
557.0,7.039764478602527,-6.659,29.532,-42.125,51.87481980691595,1495812.8826163986,0.0
560.0,6.986751233784402,-9.039,20.478,-35.46,41.93403873942981,1495812.8826163986,0.0
563.0,6.943909723553674,-10.166,12.324,-28.876,33.000786475476616,1495812.8826163986,0.0
565.0,6.8992999999999975,-10.17,3.466,-20.182,22.86384000993709,1495812.8826163986,0.0
567.0,6.866292168543732,-9.555,-3.541,-11.821,15.606817324489962,1495812.8826163986,0.0
570.0,6.816364909661479,-4.676,-11.616,4.654,13.358747995227697,1495812.8826163986,0.0
573.0,6.779399361578653,1.243,-13.168,15.984,20.74679563209702,1495812.8826163986,0.0
575.0,6.742137004320504,7.054,-12.998,25.303,29.30782709448109,1495812.8826163986,0.0
577.0,6.7130773554740495,11.271,-12.444,31.497,35.69243037396025,1495812.8826163986,0.0
580.0,6.66005882533,18.488,-10.714,41.161,46.37697554821789,1495812.8826163986,0.0
583.0,6.613862820712693,24.166,-8.58,48.296,54.68194923372794,1495812.8826163986,0.0
585.0,6.573229915265312,28.568,-6.803,53.571,61.09225379702405,1495812.8826163986,0.0
587.0,6.539376586173443,31.804,-5.38,57.578,65.99746131481119,1495812.8826163986,0.0
590.0,6.489295405186351,36.132,-3.339,62.677,72.42290158506492,1495812.8826163986,0.0
592.0,6.462779928727577,38.234,-2.328,65.043,75.48410553884838,1495812.8826163986,0.0
594.0,6.420803680733952,41.271,-0.737,68.331,79.83084723964791,1495812.8826163986,0.0
596.0,6.3912357509248015,43.233,-0.266,70.359,82.58057838257128,1495812.8826163986,0.0
598.0,6.360037918593159,45.148,0.911,72.231,85.18502911897137,1495812.8826163986,0.0
600.0,6.323181769898123,47.824,1.988,73.504,87.71502229378956,1495812.8826163986,0.0
602.0,6.296819541234349,49.16,2.906,74.722,89.49037780677875,1495812.8826163986,0.0
604.0,6.257021370782392,51.183,3.608,76.179,91.84746699827927,1495812.8826163986,0.0
608.0,6.198067183682968,53.787,5.421,77.668,94.62952411377752,1495812.8826163986,0.0
610.0,6.166826674452982,54.895,6.697,78.184,95.76559241188873,1495812.8826163986,0.0
612.0,6.133891202463207,55.952,7.942,78.541,96.7594457869618,1495812.8826163986,0.0
614.0,6.100719280344513,57.045,8.731,78.587,97.50014848706643,1495812.8826163986,0.0
616.0,6.067346103953526,57.855,10.076,78.45,97.99555755747299,1495812.8826163986,0.0
618.0,6.032072868913223,58.597,10.615,78.171,98.2699947847765,1495812.8826163986,0.0
620.0,5.9948320266449295,59.002,12.198,77.57,98.21981525130252,1495812.8826163986,0.0
622.0,5.957324003606695,59.213,13.648,76.724,97.87246522388205,1495812.8826163986,0.0
624.0,5.9365639909968575,59.5,13.273,76.159,97.55314351675194,1495812.8826163986,0.0
626.0,5.894811696137233,59.612,13.136,74.834,96.5726286066606,1495812.8826163986,0.0
629.0,5.85272746861963,59.533,13.304,73.089,95.20071652041281,1495812.8826163986,0.0
630.0,5.829423163299706,59.209,14.141,71.958,94.25299637677308,1495812.8826163986,0.0
632.0,5.806019824366869,58.733,14.981,70.771,93.180094929121,1495812.8826163986,0.0
634.0,5.758847580686567,57.945,15.224,68.0,90.62777279068486,1495812.8826163986,0.0
636.0,5.735113676933862,57.201,16.082,66.426,89.12350195655465,1495812.8826163986,0.0
639.0,5.687351268637958,55.399,17.68,62.937,85.68954177727875,1495812.8826163986,0.0
640.0,5.674282004200253,54.948,17.669,61.923,84.6518410549942,1495812.8826163986,0.0
642.0,5.63487750476342,53.356,17.629,58.623,81.2052985093953,1495812.8826163986,0.0
644.0,5.607096887071627,52.018,17.729,56.077,78.5163657717294,1495812.8826163986,0.0
646.0,5.563197273837341,49.54,17.657,51.758,73.78937466193896,1495812.8826163986,0.0
648.0,5.532228479342441,47.657,17.243,48.391,70.07281626279908,1495812.8826163986,0.0
650.0,5.499580009312712,45.328,17.086,44.553,65.81435093503543,1495812.8826163986,0.0
652.0,5.4667717357004335,42.647,17.133,40.356,61.16300380131767,1495812.8826163986,0.0
654.0,5.432045810452904,39.354,17.089,35.613,55.758918622943185,1495812.8826163986,0.0
656.0,5.395473989249358,35.701,16.3,30.147,49.488311852396016,1495812.8826163986,0.0
658.0,5.377073878453867,33.58,16.048,27.175,46.08291797401722,1495812.8826163986,0.0
660.0,5.338220697323426,28.432,15.556,20.482,38.33901516732009,1495812.8826163986,0.0
662.0,5.297253698952362,22.245,13.951,12.634,29.13912116039192,1495812.8826163986,0.0
664.0,5.276641111204341,18.717,12.555,8.344,24.032820267292806,1495812.8826163986,0.0
666.0,5.235158502612744,9.482,8.716,-1.035,12.920843819193852,1495812.8826163986,0.0
668.0,5.214323161439596,3.24,5.374,-5.55,8.377348984016363,1495812.8826163986,0.0
670.0,5.170266337889607,-10.814,-4.809,-8.878,14.79486265566531,1495812.8826163986,0.0
672.0,5.147046563163453,-16.666,-9.93,-8.405,21.142480483614026,1495812.8826163986,0.0
674.0,5.100322315894825,-26.348,-18.408,-6.356,32.76385667164353,1495812.8826163986,0.0
676.0,5.076783952863184,-30.477,-22.129,-5.128,38.011005695719234,1495812.8826163986,0.0
679.0,5.024693916499314,-37.85,-30.015,-2.357,48.36401734761082,1495812.8826163986,0.0
681.0,4.9984422681030605,-41.091,-33.486,-0.982,53.016476693571406,1495812.8826163986,0.0
682.0,4.972098961617661,-43.874,-36.969,0.359,57.373894045985764,1495812.8826163986,0.0
684.0,4.945595796763422,-46.371,-40.261,1.68,61.433217089779696,1495812.8826163986,0.0
