Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,24.381999999999998,-31.451,-48.855999999999995,63.01234848027805,235075592.57474205,4341429.164999999
523.0,7.596713167865263,22.658,-33.3,-41.323499999999996,57.705343047676266,235075592.57474205,4341429.164999999
525.0,7.566683618057125,20.34,-34.913,-35.916,54.0610046614008,235075592.57474205,4341429.164999999
527.0,7.53339063655954,18.442,-35.776,-29.622,49.97491794890713,235075592.57474205,4341429.164999999
530.0,7.482979561017268,14.894,-36.565,-19.471,44.02215694397538,235075592.57474205,4341429.164999999
532.0,7.445622694073074,11.824,-36.317,-11.425,39.86555016552512,235075592.57474205,4341429.164999999
535.0,7.388982983834753,6.342,-33.99,1.23,34.59846765392942,235075592.57474205,4341429.164999999
537.0,7.368028485131425,4.244,-32.361,5.946,33.17530366100663,235075592.57474205,4341429.164999999
539.0,7.32581407574925,0.423,-27.693,15.089,31.53980182245919,235075592.57474205,4341429.164999999
541.0,7.304554308275986,-2.001,-24.734,19.333,31.456949089191724,235075592.57474205,4341429.164999999
543.0,7.271496275648464,-5.188,-19.421,25.389,32.38351287306552,235075592.57474205,4341429.164999999
545.0,7.236227198877431,-8.487,-13.078,30.898,34.60852000591762,235075592.57474205,4341429.164999999
547.0,7.19831221169613,-11.912,-5.618,35.708,38.05941318517667,235075592.57474205,4341429.164999999
550.0,7.152681385740628,-15.793,3.49,40.374,43.493204354243666,235075592.57474205,4341429.164999999
553.0,7.099260464270884,-19.72,13.734,43.6605,49.837138925203156,235075592.57474205,4341429.164999999
555.0,7.075557727315488,-21.351,18.081,44.613,52.660303179909626,235075592.57474205,4341429.164999999
557.0,7.039764478602527,-22.839,25.146,45.542,56.815622860266174,235075592.57474205,4341429.164999999
560.0,6.986751233784402,-25.96,33.811499999999995,45.8535,62.60736853198671,235075592.57474205,4341429.164999999
563.0,6.943909723553674,-28.2825,40.3175,45.2235,66.86228806098399,235075592.57474205,4341429.164999999
565.0,6.8992999999999975,-28.587,47.799,43.81,70.86097000465065,235075592.57474205,4341429.164999999
567.0,6.866292168543732,-29.436,52.241,42.446,73.46606762989292,235075592.57474205,4341429.164999999
570.0,6.816364909661479,-31.631,57.647,39.869,76.89755477906954,235075592.57474205,4341429.164999999
573.0,6.779399361578653,-32.266,61.543,37.56,78.98980443702845,235075592.57474205,4341429.164999999
575.0,6.742137004320504,-31.782,65.5505,34.9995,80.8203475277111,235075592.57474205,4341429.164999999
577.0,6.7130773554740495,-31.162,68.428,32.9,82.07235483401216,235075592.57474205,4341429.164999999
580.0,6.66005882533,-31.006,72.534,28.81,83.97957663622745,235075592.57474205,4341429.164999999
583.0,6.613862820712693,-32.134,74.793,25.11,85.18860783578988,235075592.57474205,4341429.164999999
585.0,6.573229915265312,-32.06,76.6505,21.379,85.79163357373491,235075592.57474205,4341429.164999999
587.0,6.539376586173443,-31.6725,78.0305,18.442999999999998,86.20934076711178,235075592.57474205,4341429.164999999
590.0,6.489295405186351,-30.904,79.4465,13.933,86.3766870587776,235075592.57474205,4341429.164999999
592.0,6.462779928727577,-30.334,79.9165,11.644,86.26923706774043,235075592.57474205,4341429.164999999
594.0,6.420803680733952,-29.14,80.343,7.832,85.82235998269915,235075592.57474205,4341429.164999999
596.0,6.3912357509248015,-27.0655,80.728,5.1355,85.2990306773764,235075592.57474205,4341429.164999999
598.0,6.360037918593159,-26.285,80.34049999999999,2.3345000000000002,84.56327249758017,235075592.57474205,4341429.164999999
600.0,6.323181769898123,-20.392,80.4605,-3.6014999999999997,83.08246822585376,235075592.57474205,4341429.164999999
602.0,6.296819541234349,-19.4075,79.613,-6.15,82.17483389243935,235075592.57474205,4341429.164999999
604.0,6.257021370782392,-16.7955,78.167,-9.966000000000001,80.569782581623,235075592.57474205,4341429.164999999
608.0,6.198067183682968,-14.346,74.76599999999999,-15.3895,77.6698086919879,235075592.57474205,4341429.164999999
610.0,6.166826674452982,-13.4585,72.424,-18.17,75.87170683627726,235075592.57474205,4341429.164999999
612.0,6.133891202463207,-12.2515,69.626,-21.006,73.75046551886977,235075592.57474205,4341429.164999999
614.0,6.100719280344513,-10.43,66.519,-23.784,71.40896944362102,235075592.57474205,4341429.164999999
616.0,6.067346103953526,-9.323,62.9355,-26.3675,68.86973606381834,235075592.57474205,4341429.164999999
618.0,6.032072868913223,-7.181,58.884,-28.8425,65.96045802789729,235075592.57474205,4341429.164999999
620.0,5.9948320266449295,-5.874,53.971,-31.362,62.697270761971765,235075592.57474205,4341429.164999999
622.0,5.957324003606695,-4.116,48.504,-33.775,59.24803876078937,235075592.57474205,4341429.164999999
624.0,5.9365639909968575,-2.186,45.281,-34.98,57.26035240024287,235075592.57474205,4341429.164999999
626.0,5.894811696137233,0.8474999999999999,38.178,-37.0115,53.18015675512813,235075592.57474205,4341429.164999999
629.0,5.85272746861963,3.409,30.217,-38.5045,49.064089620108106,235075592.57474205,4341429.164999999
630.0,5.829423163299706,4.3765,25.5685,-39.025,46.85992498393483,235075592.57474205,4341429.164999999
632.0,5.806019824366869,5.348,20.802500000000002,-39.2435,44.73698025683003,235075592.57474205,4341429.164999999
634.0,5.758847580686567,7.695,10.478,-38.7945,40.91472521293525,235075592.57474205,4341429.164999999
636.0,5.735113676933862,8.609,5.1505,-38.021,39.322245259522,235075592.57474205,4341429.164999999
639.0,5.687351268637958,10.4785,-5.565,-35.2055,37.15098138003894,235075592.57474205,4341429.164999999
640.0,5.674282004200253,10.927,-8.5525,-34.11,36.824403392994704,235075592.57474205,4341429.164999999
642.0,5.63487750476342,11.9085,-17.364,-30.021,36.668532957428226,235075592.57474205,4341429.164999999
644.0,5.607096887071627,12.384,-23.137999999999998,-26.498,37.294429932632035,235075592.57474205,4341429.164999999
646.0,5.563197273837341,12.6415,-31.416,-20.003,39.330555389544145,235075592.57474205,4341429.164999999
648.0,5.532228479342441,12.293,-36.591,-14.972999999999999,41.403017510804695,235075592.57474205,4341429.164999999
650.0,5.499580009312712,11.9195,-41.1815,-9.4155,43.89353098977114,235075592.57474205,4341429.164999999
652.0,5.4667717357004335,11.681000000000001,-45.036500000000004,-3.6325000000000003,46.66826705053447,235075592.57474205,4341429.164999999
654.0,5.432045810452904,11.329,-48.317499999999995,2.4755000000000003,49.68958791839594,235075592.57474205,4341429.164999999
656.0,5.395473989249358,10.18,-51.2265,8.834,52.9700505781333,235075592.57474205,4341429.164999999
658.0,5.377073878453867,9.847000000000001,-52.337,11.9535,54.58031824980503,235075592.57474205,4341429.164999999
660.0,5.338220697323426,9.685500000000001,-54.021,18.505499999999998,57.918312143051956,235075592.57474205,4341429.164999999
662.0,5.297253698952362,8.811,-55.207499999999996,25.139499999999998,61.29841953509079,235075592.57474205,4341429.164999999
664.0,5.276641111204341,7.82,-55.678,28.3045,62.94709528048137,235075592.57474205,4341429.164999999
666.0,5.235158502612744,6.3845,-55.9775,34.4225,66.02386578162475,235075592.57474205,4341429.164999999
668.0,5.214323161439596,5.720000000000001,-55.9225,37.423500000000004,67.53193880305822,235075592.57474205,4341429.164999999
670.0,5.170266337889607,4.697,-55.2785,43.3945,70.43335148564209,235075592.57474205,4341429.164999999
672.0,5.147046563163453,4.253,-54.7395,46.344,71.8489193046771,235075592.57474205,4341429.164999999
674.0,5.100322315894825,2.123,-53.245999999999995,51.8915,74.3799127268243,235075592.57474205,4341429.164999999
676.0,5.076783952863184,1.1320000000000001,-52.297,54.492,75.53565844685541,235075592.57474205,4341429.164999999
679.0,5.024693916499314,-0.1275,-49.707499999999996,59.6385,77.6376358137598,235075592.57474205,4341429.164999999
681.0,4.9984422681030605,-0.951,-48.2315,61.95,78.51741522267528,235075592.57474205,4341429.164999999
682.0,4.972098961617661,-1.5554999999999999,-46.605,64.07,79.24273156100816,235075592.57474205,4341429.164999999
684.0,4.945595796763422,-2.18,-44.8485,66.011,79.8347823523682,235075592.57474205,4341429.164999999
687.0,4.892248159980066,-3.8914999999999997,-40.905,69.378,80.63293174162774,235075592.57474205,4341429.164999999
689.0,4.862669314823597,-5.3825,-38.486999999999995,70.9295,80.87777473138092,173594242.95629233,3940242.821
690.0,4.8487228759760965,-6.0634999999999994,-37.292500000000004,71.605,80.96155021675413,173594242.95629233,3940242.821
692.0,4.806664730570148,-7.6875,-33.486999999999995,73.3295,80.97958011437204,173594242.95629233,3940242.821
694.0,4.778461168590125,-8.226500000000001,-30.913,74.255,80.85229679019638,173594242.95629233,3940242.821
