Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,-85.452,-54.217,17.869,102.76589197783474,1589301.098494208,0.0
523.0,7.596713167865263,-85.947,-58.478,12.015,104.6466603289374,1589301.098494208,0.0
525.0,7.566683618057125,-87.578,-58.855,8.156,105.83164670834523,1589301.098494208,0.0
527.0,7.53339063655954,-87.666,-61.445,3.815,107.1231525208253,1589301.098494208,0.0
530.0,7.482979561017268,-87.793,-64.469,-2.492,108.94986403846497,1589301.098494208,0.0
532.0,7.445622694073074,-87.785,-66.156,-7.168,110.15535749567518,1589301.098494208,0.0
535.0,7.388982983834753,-87.738,-67.822,-13.958,111.77032742190568,1589301.098494208,0.0
537.0,7.368028485131425,-87.524,-68.448,-16.374,112.31067249375724,1589301.098494208,0.0
539.0,7.32581407574925,-85.64,-71.047,-21.282,113.29081751404215,1589301.098494208,0.0
541.0,7.304554308275986,-85.804,-70.682,-23.909,113.709770121129,1589301.098494208,0.0
543.0,7.271496275648464,-84.381,-71.889,-27.877,114.30358091940953,1589301.098494208,0.0
545.0,7.236227198877431,-82.653,-73.064,-31.969,114.85592481887906,1589301.098494208,0.0
547.0,7.19831221169613,-81.795,-72.778,-36.183,115.30944799971944,1589301.098494208,0.0
550.0,7.152681385740628,-78.76,-74.159,-40.687,115.57736305176721,1589301.098494208,0.0
553.0,7.099260464270884,-75.826,-74.305,-46.223,115.79024583271253,1589301.098494208,0.0
555.0,7.075557727315488,-74.164,-74.439,-48.654,115.79583469624458,1589301.098494208,0.0
557.0,7.039764478602527,-74.066,-71.994,-52.169,115.71738397060314,1589301.098494208,0.0
560.0,6.986751233784402,-69.533,-72.276,-57.194,115.45480458170634,1589301.098494208,0.0
563.0,6.943909723553674,-65.65,-72.076,-61.161,115.08927055551268,1589301.098494208,0.0
565.0,6.8992999999999975,-64.186,-69.037,-65.165,114.59680270408946,1589301.098494208,0.0
567.0,6.866292168543732,-61.504,-68.019,-68.133,114.24286439861353,1589301.098494208,0.0
570.0,6.816364909661479,-55.783,-67.524,-72.483,113.68825336858686,1589301.098494208,0.0
573.0,6.779399361578653,-52.302,-66.145,-75.641,113.2793940220374,1589301.098494208,0.0
575.0,6.742137004320504,-49.73,-64.061,-78.462,112.84134909243154,1589301.098494208,0.0
577.0,6.7130773554740495,-47.726,-62.234,-80.635,112.48486590204035,1589301.098494208,0.0
580.0,6.66005882533,-42.521,-59.578,-84.426,111.73774206148968,1589301.098494208,0.0
583.0,6.613862820712693,-36.636,-57.614,-87.565,111.03692501596034,1589301.098494208,0.0
585.0,6.573229915265312,-31.84,-55.33,-90.246,110.54200566300577,1589301.098494208,0.0
587.0,6.539376586173443,-27.945,-52.963,-92.239,109.97288536271111,1589301.098494208,0.0
590.0,6.489295405186351,-22.163,-49.352,-94.774,109.12804199196465,1589301.098494208,0.0
592.0,6.462779928727577,-19.11,-47.229,-95.944,108.63250745978388,1589301.098494208,0.0
594.0,6.420803680733952,-14.29,-43.867,-97.499,107.86367687966138,1589301.098494208,0.0
596.0,6.3912357509248015,-11.41,-41.21,-98.416,107.30405982999898,1589301.098494208,0.0
598.0,6.360037918593159,-7.608,-38.502,-99.24,106.71861725116194,1589301.098494208,0.0
600.0,6.323181769898123,-8.164,-38.833,-99.675,107.28354212086774,1589301.098494208,0.0
602.0,6.296819541234349,-4.916,-36.798,-100.115,106.77674412061832,1589301.098494208,0.0
604.0,6.257021370782392,-0.581,-33.734,-100.494,106.00643543200573,1589301.098494208,0.0
608.0,6.198067183682968,6.256,-29.063,-100.459,104.76548184397377,1589301.098494208,0.0
610.0,6.166826674452982,10.118,-26.372,-100.188,104.09366768444659,1589301.098494208,0.0
612.0,6.133891202463207,14.061,-23.555,-99.622,103.33001804896774,1589301.098494208,0.0
614.0,6.100719280344513,17.649,-20.85,-98.836,102.54152620767842,1589301.098494208,0.0
616.0,6.067346103953526,21.499,-17.711,-97.84,101.72783356584372,1589301.098494208,0.0
618.0,6.032072868913223,25.469,-14.411,-96.53,100.86817031155071,1589301.098494208,0.0
620.0,5.9948320266449295,29.742,-10.529,-94.865,99.97406978812056,1589301.098494208,0.0
622.0,5.957324003606695,33.876,-6.887,-92.816,99.0445556353301,1589301.098494208,0.0
624.0,5.9365639909968575,36.063,-5.537,-91.545,98.54788360487505,1589301.098494208,0.0
626.0,5.894811696137233,40.557,-2.309,-88.688,97.54877279597115,1589301.098494208,0.0
629.0,5.85272746861963,44.928,1.007,-85.456,96.55188847971851,1589301.098494208,0.0
630.0,5.829423163299706,47.228,3.451,-83.524,96.01381130337447,1589301.098494208,0.0
632.0,5.806019824366869,49.483,6.059,-81.419,95.4690124124053,1589301.098494208,0.0
634.0,5.758847580686567,53.951,9.888,-76.859,94.42345485100617,1589301.098494208,0.0
636.0,5.735113676933862,55.926,12.464,-74.395,93.90252817150345,1589301.098494208,0.0
639.0,5.687351268637958,59.572,17.69,-69.055,92.8996894989429,1589301.098494208,0.0
640.0,5.674282004200253,60.637,18.66,-67.493,92.6301593326925,1589301.098494208,0.0
642.0,5.63487750476342,63.67,21.458,-62.605,91.83518219614965,1589301.098494208,0.0
644.0,5.607096887071627,65.509,23.712,-59.013,91.30291448798334,1589301.098494208,0.0
646.0,5.563197273837341,68.248,26.973,-52.965,90.50206328034737,1589301.098494208,0.0
648.0,5.532228479342441,70.111,28.699,-48.55,89.97937220274434,1589301.098494208,0.0
650.0,5.499580009312712,71.62,30.933,-43.776,89.45732538478893,1589301.098494208,0.0
652.0,5.4667717357004335,72.731,33.416,-38.9,88.9923447100929,1589301.098494208,0.0
