Snapshot,Lookback,X,Y,Z,R,Mass,Mstars
520.0,7.641375389072152,-54.107,5.595,-78.513,95.51524822246971,3926508.638296615,0.0
523.0,7.596713167865263,-50.657,8.388,-83.327,97.87685692746778,3926508.638296615,0.0
525.0,7.566683618057125,-48.024,11.584,-86.266,99.40984049881581,3926508.638296615,0.0
527.0,7.53339063655954,-45.346,13.932,-89.254,101.07738053590428,3926508.638296615,0.0
530.0,7.482979561017268,-41.225,17.688,-93.259,103.48723133797715,3926508.638296615,0.0
532.0,7.445622694073074,-37.908,20.533,-95.969,105.207744553336,3926508.638296615,0.0
535.0,7.388982983834753,-32.823,24.997,-99.459,107.67679424555692,3926508.638296615,0.0
537.0,7.368028485131425,-30.949,26.488,-100.622,108.55524689760509,3926508.638296615,0.0
539.0,7.32581407574925,-27.663,29.072,-102.717,110.27785290800686,3926508.638296615,0.0
541.0,7.304554308275986,-25.222,30.886,-103.683,111.08671733830288,3926508.638296615,0.0
543.0,7.271496275648464,-22.163,33.071,-105.016,112.30872568950286,3926508.638296615,0.0
545.0,7.236227198877431,-18.909,35.244,-106.263,113.54080758035853,3926508.638296615,0.0
547.0,7.19831221169613,-14.799,37.758,-107.34,114.74559932738163,3926508.638296615,0.0
550.0,7.152681385740628,-10.983,40.49,-107.776,115.65350217351829,3926508.638296615,0.0
553.0,7.099260464270884,-5.949,43.707,-108.395,117.0263580352734,3926508.638296615,0.0
555.0,7.075557727315488,-3.851,45.138,-108.533,117.60816865337203,3926508.638296615,0.0
557.0,7.039764478602527,0.844,47.188,-108.587,118.39998415962732,3926508.638296615,0.0
560.0,6.986751233784402,5.192,49.821,-108.476,119.48276646027242,3926508.638296615,0.0
563.0,6.943909723553674,8.997,51.75,-108.248,120.3189013123042,3926508.638296615,0.0
565.0,6.8992999999999975,15.509,52.705,-107.858,121.04418313161521,3926508.638296615,0.0
567.0,6.866292168543732,19.172,53.695,-107.382,121.57965509492121,3926508.638296615,0.0
570.0,6.816364909661479,23.438,55.598,-106.408,122.32391390075777,3926508.638296615,0.0
573.0,6.779399361578653,27.586,56.45,-105.426,122.72828268985108,3926508.638296615,0.0
575.0,6.742137004320504,32.306,56.52,-104.382,123.0194698411597,3926508.638296615,0.0
577.0,6.7130773554740495,36.087,56.44,-103.36,123.17075451989405,3926508.638296615,0.0
580.0,6.66005882533,42.009,56.83,-101.08,123.33519927822714,3926508.638296615,0.0
583.0,6.613862820712693,45.917,58.12,-98.617,123.33538818198124,3926508.638296615,0.0
585.0,6.573229915265312,50.074,58.619,-96.484,123.50204408429846,3926508.638296615,0.0
587.0,6.539376586173443,53.547,59.079,-94.346,123.52642294667162,3926508.638296615,0.0
590.0,6.489295405186351,58.318,59.502,-91.034,123.40448243074479,3926508.638296615,0.0
592.0,6.462779928727577,60.745,59.694,-89.079,123.24121429943798,3926508.638296615,0.0
594.0,6.420803680733952,64.542,59.612,-85.892,122.8686126396811,3926508.638296615,0.0
596.0,6.3912357509248015,67.97,58.587,-83.474,122.5571954027996,3926508.638296615,0.0
