index,ID,X,Y,Z,Mass,Rvir,new_ID,Mstars
0,134.0,-46.94654776380534,117.04185884870391,-5.927462246025486,130229213.64636172,11.091050869752129,134.0,0.0
1,140.0,-23.49232423108827,133.49590012583874,-69.97503961356107,116303739.12349802,11.139399691235978,140.0,0.0
2,141.0,-125.80682919608812,43.917353094309156,82.30149848642854,104426436.0640859,10.503674531721913,141.0,0.0
3,163.0,13.00658897942998,168.79806571451576,14.902453310326996,49829269.420015976,7.617595676698768,163.0,0.0
4,236.0,19.44585917802717,141.0275000879252,109.77553349928539,12714408.787953664,4.647047226146793,236.0,0.0
5,440.0,-89.72422699326425,22.341784168561585,-50.22472229393354,36553926.33679537,7.44201198577908,440.0,0.0
6,444.0,-44.93253952653647,17.6352096379783,-4.252595259778141,331976965.65353405,14.490842763305764,444.0,0.0
7,447.0,-34.22725643806696,9.790341113743697,-58.831244013487826,34777649.16368841,6.482297326755582,447.0,0.0
8,452.0,-9.029997678792368,62.28599374809938,-20.0731739089345,107885498.98013625,10.449250374617531,452.0,0.0
9,474.0,-119.26776295550322,17.529870010395143,-87.83086834138697,234188209.70248717,14.157020400907346,474.0,0.0
10,480.0,-23.762573006241624,6.335707900144179,-52.54442359423376,814704836.7314836,18.539648816097525,480.0,194401654.293
11,489.0,-82.81136426442848,30.711774359813152,67.2245197285318,17295336.008823533,5.901016610240453,489.0,0.0
12,509.0,-5.20775515310542,13.745229143593868,71.6808589937213,54129726.636109464,8.359628197229418,509.0,0.0
13,515.0,-49.50999263785405,50.535484494951525,-115.92361460405111,1013008840.1085806,23.044604653032355,515.0,4595147.433999999
14,1438.0,-67.27647325206516,0.3000939114440655,-184.34617818603317,25522306.148927998,6.789708034041226,1438.0,0.0
15,1442.0,33.30200627813103,84.50898219599073,-147.32076261742301,149581282.54735407,12.329865241621222,1442.0,0.0
16,1503.0,149.49407620629208,-15.05641179357838,129.21134885905533,31318583.390495155,7.079503629689849,1503.0,0.0
17,1703.0,-11.762935141881162,57.88197476174824,-67.28628255321486,415368555.64511293,16.935828604721067,1703.0,0.0
18,1710.0,83.22566937599281,10.780431382775953,-85.65500025293878,359688371.8397422,16.369087078631534,1710.0,16643763.180000002
19,1715.0,-6.288570068731031,35.921148855497115,-64.23581653659029,45528803.632493764,8.008911162249149,1715.0,0.0
20,1718.0,14.787692737289104,35.91769227884344,-107.69156864360522,16079988.84526915,4.807415336956744,1719.0,0.0
21,1719.0,14.231119438079794,35.2634758348501,-106.16951396505156,216986357.98096994,13.086643868701923,1719.0,0.0
22,1722.0,70.92246728901192,67.21322430096849,-30.0024614540845,10470690.178314792,4.8585618730981315,1722.0,0.0
23,1727.0,19.346374991499186,0.17576814655385142,-49.67037890420893,348150451.64325255,15.101922299727258,1729.0,0.0
24,1766.0,53.12629926819215,25.462287408711212,18.7258610548283,21502310.366182163,5.41628110268537,1766.0,0.0
25,1768.0,91.47642209673567,3.45353713984395,-37.835662269721965,33562300.57156257,7.38403895632166,1768.0,0.0
26,1782.0,75.11787465789962,89.55149365797546,29.53492169788273,116205967.69326155,9.91953582246257,1782.0,0.0
27,1789.0,97.45176003590092,16.1280692225505,78.34887552775324,57962749.55852831,8.510738405361751,1789.0,0.0
28,1790.0,29.980225409998283,20.098045013164622,16.962752074142877,1596889078.6234305,24.650009482572003,1790.0,5897648.112
29,1795.0,45.99055913795193,13.820070719227694,9.629411348828974,173514288.66921645,10.89666215458056,1795.0,0.0
30,1796.0,68.32119058037745,18.78410845497053,1.2558344135455362,539240557.7546406,17.372908488789072,1796.0,0.0
31,1802.0,-0.0035577663619888876,-0.0023447414683102443,0.0032813983553288367,29291640453.119377,59.374550613941544,1804.0,38694282503.457985
32,1874.0,-124.02790216668902,-74.18719324349678,-125.05969905475335,160238951.30028164,11.433251886198484,1874.0,0.0
33,1882.0,-149.26081695032795,5.151734976570721,38.36636423229428,126770139.30173975,9.874816437312989,1882.0,0.0
34,1932.0,-165.26351014841566,-81.76758891253458,-76.74378594427557,39078112.094067715,7.7325187469310785,1932.0,0.0
35,2248.0,-125.61126008582357,-26.101425412170624,-103.42753817915947,59645538.158614606,9.096287853688102,2248.0,0.0
36,2249.0,-105.14810082783475,-32.77638172661866,-90.70016964810017,14397198.816611405,5.145003051182945,2249.0,0.0
37,2254.0,-69.1888380803082,-64.46143189018704,-57.386371066683125,342167205.8270728,15.371226243891051,2255.0,0.0
38,2255.0,-68.61739818065939,-65.08366798948803,-57.19354140103866,43472060.74032478,7.456365125571763,2255.0,0.0
39,2263.0,-121.1092169877208,-11.762601575337401,-104.78804380481225,599727461.6418692,19.637712696384696,2263.0,0.0
40,2290.0,-37.69303585689248,-51.43560139861715,-1.7336784590302838,10003248.741782883,4.309652807515846,2290.0,0.0
41,2294.0,1.2342521178893517,-59.30968695812184,98.58599938691114,20099986.056586437,6.276835990739261,2294.0,0.0
42,2298.0,-52.257669956272544,-88.02477401791892,33.819893074964895,132753396.54649116,11.750344761156425,2298.0,0.0
43,2403.0,89.63503632523813,-72.41415542680173,-118.54884244326998,105548298.94033396,10.320006042426837,2403.0,0.0
44,2408.0,84.26249898511843,-155.0134187746943,-90.40696416280188,111438059.04063597,10.760822008674767,2409.0,0.0
45,2409.0,83.7148726463591,-155.24100485162742,-89.77440688587163,15706034.55318646,5.54876074525899,2409.0,0.0
46,2428.0,-57.54502399098741,-83.15587868503516,-129.51316940666652,80119475.65014082,8.730431745400416,2428.0,0.0
47,2459.0,26.43776058409994,-111.89597896911853,140.0344205673152,47398569.3786214,8.208761999428724,2459.0,0.0
