,ID,Snapshot,Mass,Mstars
0,1034.0,999.0,45248340.77057465,0.0
1,1037.0,999.0,26737654.74105383,0.0
2,1047.0,999.0,728834846.6976978,0.0
3,1050.0,999.0,27392074.75219854,0.0
4,1068.0,999.0,15332081.689675223,0.0
5,1078.0,999.0,539053586.322885,0.0
6,2238.0,999.0,16266964.56273904,0.0
7,2254.0,999.0,16547430.281801058,0.0
8,2272.0,999.0,27859514.760158997,0.0
9,2282.0,999.0,57495309.55056786,0.0
10,2286.0,999.0,216986357.98096997,0.0
11,289.0,999.0,321337079.7580522,15881602.914
12,359.0,999.0,10844643.041826028,0.0
13,394.0,999.0,77625269.89337903,3151142.618
14,397.0,999.0,26363703.306114048,0.0
15,406.0,999.0,27953003.333179668,0.0
16,418.0,999.0,802893545.1017671,4542226.085
17,424.0,999.0,144813385.32330012,0.0
18,435.0,999.0,799723533.6192106,186200012.775
19,438.0,999.0,211984689.32436347,14162510.476000002
20,1647.0,999.0,64974372.5350784,0.0
21,1648.0,999.0,32440440.55245741,0.0
22,1649.0,999.0,82460835.69001395,0.0
23,1651.0,999.0,32346954.836579643,0.0
24,1657.0,999.0,44219969.32449016,0.0
25,1659.0,999.0,95171093.04932548,0.0
26,1663.0,999.0,120973864.9173155,0.0
27,1664.0,999.0,109474801.86434476,0.0
28,1672.0,999.0,61982743.912702695,0.0
29,1681.0,999.0,361145331.8645541,0.0
30,1688.0,999.0,85915750.03456508,0.0
31,1704.0,999.0,26831143.314074505,0.0
32,1711.0,999.0,3286617655.970765,8936872.433
33,1712.0,999.0,305706748.06329775,0.0
34,1726.0,999.0,76284435.58483048,2410095.6610000003
35,1732.0,999.0,177160334.44559395,0.0
36,864.0,900.0,52072983.74394049,0.0
37,865.0,900.0,176879877.29796064,0.0
38,903.0,900.0,131725019.38612086,0.0
39,904.0,900.0,86570172.90285268,0.0
40,2446.0,900.0,21034868.92965025,0.0
41,2467.0,900.0,29355329.071346845,0.0
42,2477.0,900.0,38330206.36704524,4667.683
43,2519.0,900.0,88252961.50293897,0.0
44,383.0,900.0,77875755.6119305,0.0
45,1052.0,900.0,35058114.88275042,0.0
46,1065.0,900.0,11125108.046602318,0.0
47,1066.0,900.0,24306960.413945068,0.0
48,1423.0,900.0,47492057.95164207,0.0
49,1447.0,900.0,12527433.07048377,0.0
50,440.0,850.0,36553926.33679537,0.0
51,444.0,850.0,331976965.65353405,0.0
52,447.0,850.0,34777649.16368841,0.0
53,474.0,850.0,234188209.7024872,0.0
54,1715.0,850.0,45528803.63249376,0.0
55,1722.0,850.0,10470690.178314792,0.0
56,1727.0,850.0,348150451.6432525,0.0
57,1766.0,850.0,21502310.366182163,0.0
58,1782.0,850.0,116205967.69326156,0.0
59,1789.0,850.0,57962749.55852831,0.0
60,1795.0,850.0,173514288.66921645,0.0
61,1882.0,850.0,126770139.30173977,0.0
62,2249.0,850.0,14397198.816611404,0.0
63,2254.0,850.0,342167205.8270728,0.0
64,2255.0,850.0,43472060.74032478,0.0
65,2290.0,850.0,10003248.741782883,0.0
66,2734.0,850.0,45715780.77853511,0.0
67,2771.0,850.0,87131098.62669091,0.0
68,2782.0,850.0,10844643.041826028,0.0
69,2788.0,850.0,465945699.3635794,0.0
70,2381.0,805.0,111344573.32475822,0.0
71,2382.0,805.0,771558961.7109994,0.0
72,429.0,805.0,839244540.006535,0.0
73,750.0,740.0,38517180.65594368,0.0
74,912.0,740.0,10190225.1735385,0.0
75,978.0,740.0,109568299.00879416,0.0
76,1171.0,740.0,12527433.07048377,0.0
77,1192.0,740.0,130042230.78603455,0.0
78,1195.0,740.0,552983323.7029642,0.0
79,1197.0,740.0,19539056.047033858,0.0
80,1198.0,740.0,11779526.629175572,0.0
81,1223.0,740.0,155471054.0762277,0.0
82,1740.0,740.0,10938131.6148467,0.0
83,2070.0,740.0,20847891.78360891,0.0
84,2082.0,740.0,17482313.154864877,0.0
85,2189.0,740.0,12901385.933995008,0.0
86,2190.0,740.0,52540429.466186754,0.0
87,2191.0,740.0,21782774.656672727,0.0
88,2218.0,740.0,39919506.39411086,0.0
89,2219.0,740.0,24026494.69488305,0.0
90,2463.0,740.0,52540429.466186754,0.0
91,2479.0,740.0,104239464.63233036,0.0
92,447.0,740.0,18510684.60094937,0.0
93,2618.0,740.0,43004620.73236433,0.0
94,2830.0,740.0,50577172.28989554,0.0
95,2850.0,740.0,53942749.49006812,0.0
96,2851.0,740.0,73294829.81963208,0.0
97,2852.0,740.0,33749277.717603914,0.0
98,2883.0,740.0,14023245.95310017,0.0
99,2909.0,740.0,11779526.629175572,0.0
100,271.0,689.0,195577534.759237,0.0
101,598.0,689.0,115458059.10909615,0.0
102,2512.0,689.0,447621996.19438577,0.0
103,1459.0,590.0,111812013.33271869,0.0
104,1901.0,590.0,4647527942.004072,231402319.938
105,2130.0,590.0,615994433.3474655,0.0
106,2989.0,590.0,468376419.4049744,0.0
107,275.0,530.0,170335694.329371,0.0
